Data_ID,WVSN,Option,WVS_Class,Cultural_Knowledge_Country,Cultural_Value_country,Agent_1,Agent_2,Agent_3,Agent_1_Background,Agent_2_Background,Agent_3_Background,Scenario,Event_1,Event_2,Cultural_Knowledge,Cultural_Value,Agent_1_Goal_1,Agent_1_Goal_2,Agent_2_Goal_1,Agent_2_Goal_2,Awareness_Score,Knowledge_Score,Value_Score,Behavior_Score
1313,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,Cyprus,Romania,Lucas,John,Maria,Lucas is a 35-year-old male software engineer from the United States.,John is a 32-year-old male software engineer from Romania.,Maria is a 28-year-old female software engineer from Cyprus.,A large software development company is preparing to roll out a major software update. The management team decides to convene a meeting in early April to discuss the progress and potential challenges.,Setting a final meeting date upon mutual agreement.,Discussing and comparing levels of freedom of speech in different political systems.,People from Cyprus observe Greek Cypriot National Day on April 1st.,People from Romania agree that the political system in their country does not allow people to have a say in what the government does.,Propose to schedule the meeting on April 1st,Question whether it is common to discuss the appropriateness of government actions.,Discussion around finalizing the date for the meeting.,Discuss whether it is common to discuss government actions.,0,1,1,2
1314,28,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Thailand,United States,Jack,Ray,Victoria,Jack is a 27-year-old male software engineer from Thailand.,Ray is a 30-year-old father from United States who works in a non-profit organization.,Victoria is a hardworking single mother from Thailand.,"Victoria, a single working mother, is trying to organize a surprise party for her son's birthday which she thinks would help in bonding with her child.",Discuss what type of gift and what color to wrap it in for the birthday party for Victoria's son.,Discuss the impact of a mother working for pay on her children.,Do not wrap gifts in green for people from Thailand. These colours are typically associated with death and mourning.,"People from United States strongly disagree that when a mother works for pay, the children suffer.",Discuss wrap the gift in green for the party.,Question whether that a mother works for pay and the children suffer.,decide on what type of gift and what color to wrap it in for the birthday party for Victoria's son.,"Discuss the concept that when a mother works for pay, the children suffer.",0,1,1,2
1315,237,34,POLITICAL CULTURE & POLITICAL REGIMES,Argentina,Macao SAR,Peter,Mark,Lucia,Peter: A 30-year-old male IT developer from China.,Mark: A 28-year-old male IT developer from Macao SAR.,Lucia: A 35-year-old female IT developer from Argentina.,Multiple tech companies from around the globe have come together for a substantial project and have scheduled a meeting in July to measure the work progress,Decide on an exact date for the upcoming meeting.,Discuss whether it is common to have the army rule.,"People from Argentina celebrate Independence Day on July 9,",People from Macao SAR agree that having the army rule is bad.,Propose holding the meeting on the July 9,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,0,1,1,2
1316,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,Cyprus,Lebanon,Lucas,John,Maria,Lucas is a 35-year-old male software engineer from the United States.,John is a 32-year-old male software engineer from Lebanon.,Maria is a 28-year-old female software engineer from Cyprus.,A large software development company is preparing to roll out a major software update. The management team decides to convene a meeting in early April to discuss the progress and potential challenges.,Setting a final meeting date upon mutual agreement.,Discussing and comparing levels of freedom of speech in different political systems.,People from Cyprus observe Greek Cypriot National Day on April 1st.,People from Lebanon agree that the political system in their country does not allow people to have a say in what the government does.,Propose to schedule the meeting on April 1st,Question whether it is common to discuss the appropriateness of government actions.,Discussion around finalizing the date for the meeting.,Discuss whether it is common to discuss government actions.,0,1,1,0
1317,237,34,POLITICAL CULTURE & POLITICAL REGIMES,Mexico,Maldives,Lisa,Hans,David,Lisa: A 27-year-old female software engineer from Japan.,Hans: A 30-year-old male software engineer from Maldives.,David: A 35-year-old male software engineer from Mexico.,A few international tech companies are working together on a software development project and plan a progress check meeting around mid-September.,Decide on an exact date for the upcoming meeting.,Discuss whether it is common to have the army rule.,People from Mexico celebrate Independence Day on September 16.,People from Maldives agree that having the army rule is bad.,Propose holding the meeting on the 16th of September.,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,0,1,1,2
1318,66,12,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL",Hungary,Colombia,Anna,Max,Bella,Anna: A 27-year-old female graduate from India.,Max: A 25-year-old male graduate from Colombia.,Bella: A 26-year-old female graduate from Hungary.,"Bella, Anna, and Max have graduated from a renowned university and are now partners in a tech startup that just got a major investment. They plan on celebrating their success through a fancy dinner. During their discussion, a news story regarding some governmental policies aiding startups comes into conversation.",The discussion about selecting a suitable food cuisine for the celebration dinner.,Discuss about the reliability of the news from the press,Do not season your food with  pepper to people from Hungary. This may be considered offensive.,People from Colombia have no confidence in the press at all.,Discuss cooking a  pepper dessert.,Question whether  there is confidence in the press,The discussion about selecting a suitable food cuisine for the celebration dinner.,Discuss whether there is confidence in the press,0,1,0,1
1319,66,12,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL",Hungary,New Zealand,Anna,Max,Bella,Anna: A 27-year-old female graduate from India.,Max: A 25-year-old male graduate from New Zealand.,Bella: A 26-year-old female graduate from Hungary.,"Bella, Anna, and Max have graduated from a renowned university and are now partners in a tech startup that just got a major investment. They plan on celebrating their success through a fancy dinner. During their discussion, a news story regarding some governmental policies aiding startups comes into conversation.",The discussion about selecting a suitable food cuisine for the celebration dinner.,Discuss about the reliability of the news from the press,Do not season your food with  pepper to people from Hungary. This may be considered offensive.,People from New Zealand have no confidence in the press at all.,Discuss cooking a  pepper dessert.,Question whether  there is confidence in the press,The discussion about selecting a suitable food cuisine for the celebration dinner.,Discuss whether there is confidence in the press,0,1,1,1
1320,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,Romania,Peru,Alex,John,Maria,"Alex, a 40-year-old male civil engineer from Japan.","John, a 30-year-old male civil engineer from Peru.","Maria, a 35-year-old female civil engineer from Romania.",Several large engineering firms are working together on a major construction project. They have planned to hold a crucial progress meeting in early December.,Discussion around finalizing the date for the meeting.,Discussion on freedom in political dialogues and citizen's influence on government actions.,People from Romania celebrate National Day on December 1.,People from Peru agree that the political system in their country does not allow people to have a say in what the government does.,Propose to keep the meeting on December 1st.,Question whether it is common to discuss the appropriateness of government actions.,Discussion around finalizing the date for the meeting.,Discuss whether it is common to discuss government actions.,0,1,1,2
1321,24,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Netherlands,Russia,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China,Kim: A 25-year-old male IT programmer from Russia.,Emily: A 25-year-old female sales assistant from the Netherlands.,Emily is preparing to move into a new home and is planning to host a housewarming party. One of her neighbors have heavy drinkers . Mike and Kim will attend Emily’s housewarming party.,Discuss what gift to buy for Emily to bring to the housewarming party.,Discuss whether it’s acceptable to have heavy drinkers as a neighbor.,"Do not give chrysanthemums to people from the Netherlands, as they are associated with mourning.",People from Russia would not like to have heavy drinkers as neighbors.,Discuss bringing chrysanthemums to Emily’s housewarming party,Question whether would like to have heavy drinkers as a neighbor.,Decide appropriate gift to bring to Emily’s housewarming party.,Discuss on whether it’s acceptable to have heavy drinkers  as a neighbor.,0,1,1,1
1322,237,34,POLITICAL CULTURE & POLITICAL REGIMES,Mexico,Russia,Lisa,Hans,David,Lisa: A 27-year-old female software engineer from Japan.,Hans: A 30-year-old male software engineer from Russia.,David: A 35-year-old male software engineer from Mexico.,A few international tech companies are working together on a software development project and plan a progress check meeting around mid-September.,Decide on an exact date for the upcoming meeting.,Discuss whether it is common to have the army rule.,People from Mexico celebrate Independence Day on September 16.,People from Russia agree that having the army rule is bad.,Propose holding the meeting on the 16th of September.,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,0,1,0,0
1323,66,34,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL",Mauritius,Vietnam,Anthony,Jenna,Samuel,Anthony: A 28-year-old male professional from India.,Jenna: A 29-year-old female professional from Vietnam.,Samuel: A 30-year-old Hindu male professional from Mauritius.,"Anthony, Jenna, and Samuel, who are young professionals and colleagues, have recently gathered to prepare for a fundraising event for their Non-Profit Organization. Some news suggests that the local government is fast-tracking proposals that encourage non-profit activities which they are planning to discuss.",Decide on the menu for the fundraising event.,Debate the credibility of the news from press,Do not give beef or beef-related products to Hindu from Mauritius.,People from Vietnam have a great deal of confidence in the press.,Suggest the idea of serving beef barbecue.,Question whether  there is confidence in the press,Decide on the menu for the fundraising event.,Discuss whether there is confidence in the press,1,2,0,1
1324,66,12,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL",Mauritius,Libya,Anthony,Jenna,Samuel,Anthony: A 28-year-old male professional from India.,Jenna: A 29-year-old female professional from Libya.,Samuel: A 30-year-old Hindu male professional from Mauritius.,"Anthony, Jenna, and Samuel, who are young professionals and colleagues, have recently gathered to prepare for a fundraising event for their Non-Profit Organization. Some news suggests that the local government is fast-tracking proposals that encourage non-profit activities which they are planning to discuss.",Decide on the menu for the fundraising event.,Debate the credibility of the news from press,Do not give beef or beef-related products to Hindu from Mauritius.,People from Libya have no confidence in the press at all.,Suggest the idea of serving beef barbecue.,Question whether  there is confidence in the press,Decide on the menu for the fundraising event.,Discuss whether there is confidence in the press,1,1,1,1
1325,212,3,POLITICAL INTEREST & POLITICAL PARTICIPATION,Venezuela,China,Javier,Ahmed,Luis,Javier: A 25-year-old male software engineer from Spain.,Ahmed: A 30-year-old male software engineer from China.,Luis: A 35-year-old male software engineer from Venezuela.,A group of software engineers working remotely for a global tech company decides to initiate a team-building meeting early in January. Luis raises the idea of going on a strike to protest against some changes from the company's management.,Discuss a specific date for the team-building meeting.,Discuss Luis's proposition to participate in a strike,People from Venezuela celebrate New Year's Day on January 1.,People from China strongly agree they would never join strikes.,Suggest the possibility of scheduling the team-building meeting on January 1st.,Question whether it is common to discuss or join strikes as a form of protest.,Discuss a specific date for the team-building meeting.,Discuss whether it is common to join strikes as a form of protest.,1,1,1,2
1326,27,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Russia,Philippines,David,Alex,Tom,David: A 28-year-old male who got promoted to a high-level executive position from Japan.,Alex: A 26-year-old male working in finance from Philippines.,Tom: A 25-year-old male working in marketing from Russia.,"Tom has been promoted to a high-level executive position in his company, and his family is organizing a party to celebrate his professional accomplishment.",Discuss what gift to bring to Tom promotion party.,Discuss how becoming a high-ranking executive in his company has made the parents incredibly proud.,Do not give carnations to people from Russia. These are associated with funerals and Soviet holidays.,People from Philippines strongly agree that one of my main goals in life has been to make my parents proud.,Discuss the idea of buying carnations as a gift for Tom.,Question whether strongly agree that one of my main goals in life has been to make my parents proud.,Decide the appropriate gift to bring to Tom promotion party.,Discuss whether my main goals in life has been to make my parents proud.,0,1,1,1
1327,169,12,RELIGIOUS VALUES,Poland,Indonesia,Alex,Sam,Jake,Sam: A 30-year-old researcher from Canada.,Alex: A 28-year-old male architect from Indonesia.,Jake: A 28-year male student from Poland preparing to graduate from his masters degree.,"Jake is graduating from his masters degree and his friends, Alex and Sam, plan to go to his graduation ceremony.",discuss what kind of gift to buy for Jake.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,Avoid giving excessively expensive gifts to people from Poland. The grandness of the gesture may embarrass the recipient.,"People from Indonesia strongly agree that whenever science and religion conflict, religion is always right.",Propose on an expensive gift for Jake's graduation.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,discuss what kind of gift to buy for Jake.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,1,1,0,2
1328,18,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",China,Egypt,Luis,Emi,Jane,A 27-year-old male software developer from Mexico,Emi: A 28-year-old female System Analyst from Egypt.,Jane: A 30-year-old female project manager from China.,"In a multinational software company, Maria is planning a farewell party for her colleague Jane, who's leaving the company. Invited to the party are colleagues from different cultural backgrounds including Luis and Emi.",Discuss about what farewell gift to buy for Jane,Discuss whether it’s acceptable to have a drug addict as a neighbor.,Do not give umbrellas to people from China. These symbolize separation.,People from Egypt would not like to have drug addicts as neighbors.,Suggest bringing umbrellas as a get-well-soon gift,Question whether would like to have a former drug addict as a neighbor.,Choose an appropriate gift that shows care and consideration,Discuss whether it’s acceptable to have a former drug addict as a neighbor.,0,1,1,2
1329,27,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Russia,Armenia,David,Alex,Tom,David: A 28-year-old male who got promoted to a high-level executive position from Japan.,Alex: A 26-year-old male working in finance from Armenia.,Tom: A 25-year-old male working in marketing from Russia.,"Tom has been promoted to a high-level executive position in his company, and his family is organizing a party to celebrate his professional accomplishment.",Discuss what gift to bring to Tom promotion party.,Discuss how becoming a high-ranking executive in his company has made the parents incredibly proud.,Do not give carnations to people from Russia. These are associated with funerals and Soviet holidays.,People from Armenia strongly agree that one of my main goals in life has been to make my parents proud.,Discuss the idea of buying carnations as a gift for Tom.,Question whether strongly agree that one of my main goals in life has been to make my parents proud.,Decide the appropriate gift to bring to Tom promotion party.,Discuss whether my main goals in life has been to make my parents proud.,0,1,1,2
1330,28,34,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Germany,Taiwan ROC,Mike,Kim,Emily,Mike is a 25-year-old Chinese male IT programmer.,Kim is a 25-year-old male IT programmer from Taiwan ROC.,Emily is a 27-year-old male IT programmer from Germany.,"Emily, a full-time working mother, is planning a birthday party for her children to improve their quality time together.",Discuss what gift to buy for Emily children's birthday party.,Discuss the impact of a mother working for pay on her children.,"Do not give chrysanthemums to people from Germany, as they are associated with mourning.","People from Taiwan ROC strongly disagree that when a mother works for pay, the children suffer.",Discuss bringing chrysanthemums to Emily's party.,Question whether that a mother works for pay and the children suffer.,Discuss what gift to buy for Emily's children's birthday party.,"Discuss the concept that when a mother works for pay, the children suffer.",0,1,1,2
1331,27,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Bangladesh,Kyrgyzstan,Kelly,Omar,Adam,Kelly: A 17-year-old female high school student from USA.,Omar: A 18-year-old male high school student from Kyrgyzstan.,Adam: A 18-year-old male high school student from Bangladesh.,Adam has won a scholarship to study at a prestigious university. His friends plan to hold a celebration party in his honor.,Discuss what gift to bring to Adam's scholarship award celebration.,Discuss how winning the scholarship made Adam's parents extremely proud.,Avoid gifting alcohol to people from Bangladesh. Many Bangladeshi Muslims and Hindus do not consume alcohol.,People from Kyrgyzstan strongly agree that one of my main goals in life has been to make my parents proud.,Discuss the idea of buying a bottle of champagne as a gift for Adam's celebration.,Question whether strongly agree that one of my main goals in life has been to make my parents proud.,Decide appropriate gift to bring to Adam's scholarship award celebration.,Discuss whether my main goals in life has been to make my parents proud.,0,2,1,2
1332,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,United States,Mexico,Mike,Kim,Emily,Mike is a 25-year-old  male IT programmer from China.,Kim is a 25-year-old  male IT programmer from Mexico.,Emily is a 30-year-old male IT programmer from the United States.,Several multinational companies are collaborating on a project and have decided to hold a joint meeting in early November to determine progress.,Discuss setting a specific meeting date.,Discuss the degree of freedom in political discussions.,Election Day in the United States is on the Tuesday following the first Monday in November.,People from Mexico agree that the political system in their country does not allow people to have a say in what the government does.,Discuss proposing to hold the meeting on the first Tuesday of November.,Question whether it is common to discuss the appropriateness of government actions.,Discuss setting a specific date for the meeting.,Discuss whether it is common to discuss government actions.,0,1,1,1
1333,169,34,RELIGIOUS VALUES,Croatia,Kenya,Oliver,John,Paul,Oliver: A 36-year-old male IT specialist from New Zealand.,John: A 35-year-old male biology teacher from Kenya.,Paul: A 50-year-old retired accountant from Croatia.,"Paul is in need of a pacemaker installation due to a critical heart condition. As a deeply religious individual, he is unsure about the procedure. His friends John and Oliver decide to visit him at the hospital to discuss his options and bring him flowers.",Discuss what kind of flowers and how many to bring for Paul.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,Do not give an even number of flowers to people from Croatia. Even numbers are only given to the deceased.,"People from Kenya strongly agree that whenever science and religion conflict, religion is always right.",Consider bring 16 white lilies to Paul.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,Discuss what kind of flowers and how many to bring for Paul.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,0,1,0,1
1334,237,12,POLITICAL CULTURE & POLITICAL REGIMES,Argentina,Canada,Peter,Mark,Lucia,Peter: A 30-year-old male IT developer from China.,Mark: A 28-year-old male IT developer from Canada.,Lucia: A 35-year-old female IT developer from Argentina.,Multiple tech companies from around the globe have come together for a substantial project and have scheduled a meeting in July to measure the work progress,Decide on an exact date for the upcoming meeting.,Discuss whether it is common to have the army rule.,"People from Argentina celebrate Independence Day on July 9,",People from Canada agree that having the army rule is bad.,Propose holding the meeting on the July 9,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is good to have the army rule.,0,1,1,2
1335,169,34,RELIGIOUS VALUES,Poland,Czechia,Luke,Tariq,Anna,Luke: A 30-year-old male choreographer from Australia.,Tariq: A 32-year-old male dance company manager from Czechia.,Anna: A 28-year-old professional dancer from Poland.,"Anna, a dancer, has suffered an injury during a performance and is now confined to a bed. She needs a surgery to get back to her life. she hesitates on taking the surgery which is against her religious belief.Her friends Luke and Tariq are going to visit her in the hospital.",Discuss what kind of flowers to bring Anna to cheer her up.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,Do not give white flowers to people from Poland. These may carry specific symbolic meanings.,"People from Czechia strongly disagree that whenever science and religion conflict, religion is always right.",Consider bring white lilies to Anna.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,Discuss what kind of flowers to bring Anna to cheer her up.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,0,1,1,2
1336,3,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Colombia,Colombia,Emily,Carlos,,Emily is a 28-year-old female software engineer from Canada.,Carlos is a 30-year-old male project manager from Colombia.,,A project is due for completion by May 6 . It is currently April 30.,Discuss the schedule for completing the project,Discuss the possibility of working on     May 1 to ensure the project is completed on time.,People from Colombia observe Labour Day (Primero de Mayo) on May 1.,People from Colombia place great importance on Leisure time.,Discuss the possibility of working on        May 1-3 to complete the tasks.,Suggest working on      May 1 to ensure the project is completed on time.,Discuss the schedule for completing the tasks,Discuss  the possibility of working on     May 1 to finish the task,0,1,0,1
1337,27,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Russia,Armenia,Mark,Lucas,Sophia,"Mark: 26-year-old accountant, also a close friend of Sophia.",Lucas: 25-year-old software engineer and boyfriend of Sophia from Armenia.,Sophia: 26-year-old promotion recipient from Russia,"Sophia has been promoted to the position of a Team Manager at her workplace, and her friends are throwing her a surprise party to celebrate her accomplishment.",Sophia's friends brainstorming what kind of gift to give her at the surprise party.,Discussing how Sophia's promotion brings great pride to her parents.,Do not give yellow flowers to people from Russia in a romantic relationship . These are considered inappropriate.,People from Armenia strongly agree that one of my main goals in life has been to make my parents proud.,Suggest the idea of giving yellow flowers as a gift for Sophia.,Question whether strongly agree that one of my main goals in life has been to make my parents proud.,Decide the appropriate gift to give at the surprise party.,Discuss whether my main goals in life has been to make my parents proud.,0,1,1,1
1338,27,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Russia,Ecuador,David,Alex,Tom,David: A 28-year-old male who got promoted to a high-level executive position from Japan.,Alex: A 26-year-old male working in finance from Ecuador.,Tom: A 25-year-old male working in marketing from Russia.,"Tom has been promoted to a high-level executive position in his company, and his family is organizing a party to celebrate his professional accomplishment.",Discuss what gift to bring to Tom promotion party.,Discuss how becoming a high-ranking executive in his company has made the parents incredibly proud.,Do not give carnations to people from Russia. These are associated with funerals and Soviet holidays.,People from Ecuador strongly agree that one of my main goals in life has been to make my parents proud.,Discuss the idea of buying carnations as a gift for Tom.,Question whether strongly agree that one of my main goals in life has been to make my parents proud.,Decide the appropriate gift to bring to Tom promotion party.,Discuss whether my main goals in life has been to make my parents proud.,0,1,0,1
1339,237,34,POLITICAL CULTURE & POLITICAL REGIMES,Myanmar,Argentina,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China.,Kim: A 25-year-old male IT programmer from Argentina.,Emily: A 30-year-old male IT programmer from Myanmar.,Several multinational companies are collaborating on a project and have decided to hold a joint meeting in early January to assess progress.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,People from Myanmar celebrate Independence Day on January 4th.,People from Argentina agree that having the army rule is bad.,Discuss the possibility of holding the joint meeting on January 4th.,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,0,1,1,1
1340,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,Cyprus,Colombia,Lucas,John,Maria,Lucas is a 35-year-old male software engineer from the United States.,John is a 32-year-old male software engineer from Colombia.,Maria is a 28-year-old female software engineer from Cyprus.,A large software development company is preparing to roll out a major software update. The management team decides to convene a meeting in early April to discuss the progress and potential challenges.,Setting a final meeting date upon mutual agreement.,Discussing and comparing levels of freedom of speech in different political systems.,People from Cyprus observe Greek Cypriot National Day on April 1st.,People from Colombia agree that the political system in their country does not allow people to have a say in what the government does.,Propose to schedule the meeting on April 1st,Question whether it is common to discuss the appropriateness of government actions.,Discussion around finalizing the date for the meeting.,Discuss whether it is common to discuss government actions.,0,1,0,1
1341,237,12,POLITICAL CULTURE & POLITICAL REGIMES,Myanmar,Argentina,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China.,Kim: A 25-year-old male IT programmer from Argentina.,Emily: A 30-year-old male IT programmer from Myanmar.,Several multinational companies are collaborating on a project and have decided to hold a joint meeting in early January to assess progress.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,People from Myanmar celebrate Independence Day on January 4th.,People from Argentina agree that having the army rule is bad.,Discuss the possibility of holding the joint meeting on January 4th.,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is good to have the army rule.,0,1,1,2
1342,18,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",China,Kyrgyzstan,Luis,Emi,Jane,A 27-year-old male software developer from Mexico,Emi: A 28-year-old female System Analyst from Kyrgyzstan.,Jane: A 30-year-old female project manager from China.,"In a multinational software company, Maria is planning a farewell party for her colleague Jane, who's leaving the company. Invited to the party are colleagues from different cultural backgrounds including Luis and Emi.",Discuss about what farewell gift to buy for Jane,Discuss whether it’s acceptable to have a drug addict as a neighbor.,Do not give umbrellas to people from China. These symbolize separation.,People from Kyrgyzstan would not like to have drug addicts as neighbors.,Suggest bringing umbrellas as a get-well-soon gift,Question whether would like to have a former drug addict as a neighbor.,Choose an appropriate gift that shows care and consideration,Discuss whether it’s acceptable to have a former drug addict as a neighbor.,0,1,1,1
1343,20,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Netherlands,Iran,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China,Kim: A 25-year-old male IT programmer from Iran.,Emily: A 25-year-old female sales assistant from the Netherlands.,Emily is preparing to move into a new home and is planning to host a housewarming party. One of her neighborswho have AIDS. Mike and Kim will attend Emily’s housewarming party.,Mike and Kim discuss what gift to buy for Emily to bring to the housewarming party.,Mike and Kim discuss whether it’s acceptable to have people having AIDS as a neighbor.,"Do not give chrysanthemums to people from the Netherlands, as they are associated with mourning.",People from Iran would not like to have people who have AIDS as neighbors.,Discuss bringing chrysanthemums to Emily’s housewarming party,Question whether would like to have people having AIDS as a neighbor.,Discusswhat gift to bring to Emily’s housewarming party.,Discuss on whether it’s acceptable to have people having AIDS as a neighbor.,0,1,1,0
1344,169,12,RELIGIOUS VALUES,Poland,Pakistan,Luke,Tariq,Anna,Luke: A 30-year-old male choreographer from Australia.,Tariq: A 32-year-old male dance company manager from Pakistan.,Anna: A 28-year-old professional dancer from Poland.,"Anna, a dancer, has suffered an injury during a performance and is now confined to a bed. She needs a surgery to get back to her life. she hesitates on taking the surgery which is against her religious belief.Her friends Luke and Tariq are going to visit her in the hospital.",Discuss what kind of flowers to bring Anna to cheer her up.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,Do not give white flowers to people from Poland. These may carry specific symbolic meanings.,"People from Pakistan strongly agree that whenever science and religion conflict, religion is always right.",Consider bring white lilies to Anna.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,Discuss what kind of flowers to bring Anna to cheer her up.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,1,2,0,1
1345,66,12,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL",Hungary,Morocco,Anna,Max,Bella,Anna: A 27-year-old female graduate from India.,Max: A 25-year-old male graduate from Morocco.,Bella: A 26-year-old female graduate from Hungary.,"Bella, Anna, and Max have graduated from a renowned university and are now partners in a tech startup that just got a major investment. They plan on celebrating their success through a fancy dinner. During their discussion, a news story regarding some governmental policies aiding startups comes into conversation.",The discussion about selecting a suitable food cuisine for the celebration dinner.,Discuss about the reliability of the news from the press,Do not season your food with  pepper to people from Hungary. This may be considered offensive.,People from Morocco have no confidence in the press at all.,Discuss cooking a  pepper dessert.,Question whether  there is confidence in the press,The discussion about selecting a suitable food cuisine for the celebration dinner.,Discuss whether there is confidence in the press,0,1,0,1
1346,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,Argentina,Northern Ireland,Julia,Tesfaye,Lucas,Julia is a 28-year-old female environmentalist from France.,Tesfaye is a 40-year-old male environmentalist from Northern Ireland.,Lucas is a 35-year-old male environmentalist from Argentina.,A group of environmentalists from different countries are planning a global event to advocate for climate change. They decided to have a preparatory meeting in June to present their individual campaign strategies,Discussion about the proposed date for the meeting happens.,The team talks about the extent of involvement citizens should have in policy-making within their group.,People from Argentina observe National Flag Day on June 20.,People from Northern Ireland agree that the political system in their country does not allow people to have a say in what the government does.,"Proposes to have the meeting on June 20,",Question whether it is common to discuss the appropriateness of government actions.,Discussion around finalizing the date for the meeting.,Discuss whether it is common to discuss government actions.,0,1,1,1
1347,118,12,CORRUPTION,Malaysia,Russia,Marcus,Amelia,Jacob,Marcus is a 21-year-old male Engineering student from China.,Amelia is a 21-year-old female Literature student from Russia.,Jacob is a 20-year-old male Economics student from Malaysia.,Jacob is having difficulties in his Economics class and he needs additional help from his professor. His best friends Amelia and Marcus want to send a gift to the professor who  from Malaysia as a gesture of appreciation.,Discuss what kind of gift to give to Jacob's professor.,Discuss whether they should bribe the teachers for better service,Do not give gifts  containing alcohol to people from Malaysia. These are considered inappropriate.,"People from Russia strongly agree that they never have to pay a bribe to local officials and service providers, like police officers, lawyers, doctors, teachers, and civil servants.",Discuss giving a alcohol  gift to Jacob’s professor.,Question the possibility of paying a bribe to teachers for better service.,Discuss what kind of gift to give to Jacob's professor.,Discuss the possibility of paying a bribe to teachers for better service.,0,1,1,2
1348,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,Singapore,Egypt,Alice,Sam,John,Alice is a 26-year-old female IT programmer from Canada.,Sam is a 32-year-old male IT programming lead from Egypt.,John is a 28-year-old male IT programmer from Singapore.,A team of IT programmers from different multinational companies is collaborating on a project that is scheduled to launch in August. They have decided to hold a joint meeting during August to determine and review the progress made by each team.,Discussion on setting a specific meeting date in August.,Discussion on freedom and limitations in political discussions.,People from Singapore celebrate National Day on August 9,People from Egypt agree that the political system in their country does not allow people to have a say in what the government does.,Propose and discuss holding the meeting on the 9th of August.,Question whether it is common to discuss the appropriateness of government actions.,Discussion on setting a specific meeting date in August.,Discuss whether it is common to discuss government actions.,0,1,1,2
1349,22,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Chile,China,Mark,Linda,John,Mark: A 32-year-old marketing agent from Netherlands.,Linda: A 28-year-old teacher from China.,John: A 35-year-old professional chef from Chile.,"John, a professional chef, and his husband are getting ready to welcome their new next-door neighbors with a dinner party at their home.",Discuss what gift to bring for John,Discuss whether it’s acceptable to have  homosexuals as a neighbor.,Do not give sharp objects such as knives or scissors to people from Chile.,People from China would not like to have homosexuals as neighbors.,Discuss bring expensive knives to bring for John dinner.,Question whether would like to have homosexuals as a neighbor.,Decide appropriate gift to bring for John,Discuss on whether it’s acceptable to have homosexuals as a neighbor.,0,1,0,1
