male IT programmer from China.,Kim: A 25-year-old male IT programmer from Canada.,Emily: A 30-year-old male IT programmer from Myanmar.,Several multinational companies are collaborating on a project and have decided to hold a joint meeting in early January to assess progress.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,People from Myanmar celebrate Independence Day on January 4th.,People from Canada agree that having the army rule is bad.,Discuss the possibility of holding the joint meeting on January 4th.,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is good to have the army rule.,0,1,1,2
2185,3,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Taiwan,Taiwan,Sarah,Liang,,Sarah is a 28-year-old female project coordinator from Australia.,Liang is a 30-year-old male project manager from Taiwan.,,A project deadline is approaching by March 1and it is currently  February 22,Discuss the schedule for completing the project,Discuss the possibility of working on    February 28 to ensure the project is completed on time.,People from Taiwan observe Peace Memorial Day on February 28.,People from Taiwan place great importance on Leisure time.,Discuss the possibility of working on        February 22- 28 to complete the tasks.,Suggest working on     February 28 to ensure the project is completed on time.,Discuss the schedule for completing the tasks,Discuss  the possibility of working on    February 28 to finish the task,0,1,1,2
2186,130,3,MIGRATION,Brazil,Malaysia,Mike,Kim,Emily,Mike: A 25-year-old male university student from China.,Kim: A 25-year-old male university student from Malaysia.,Emily: A 25-year-old female university student from Brazil.,"The school is hosting an academic discussion about immigration. Mike, Kim, and Emily are planning to meet at a set time to attend the event together.",Discuss the time to meet and attend the event together.,Discuss how immigration impacts social security.,Do not necessarily expect your Brazilian counterpart to be punctual. Brazilians tend to have a more relaxed approach to timekeeping.,People from Malaysia strongly agree that the government should place strict limits on the number of foreigners who can come here.,Discuss asking Emily to join at the agreed-upon time.,Question whether strongly agree that the government should place strict limits on the number of foreigners who go to their countries.,Discuss the time to meet and attend the event together.,Discuss how immigration impacts social security.,1,2,0,1
2187,237,12,POLITICAL CULTURE & POLITICAL REGIMES,Mexico,Andorra,Lisa,Hans,David,Lisa: A 27-year-old female software engineer from Japan.,Hans: A 30-year-old male software engineer from Andorra.,David: A 35-year-old male software engineer from Mexico.,A few international tech companies are working together on a software development project and plan a progress check meeting around mid-September.,Decide on an exact date for the upcoming meeting.,Discuss whether it is common to have the army rule.,People from Mexico celebrate Independence Day on September 16.,People from Andorra agree that having the army rule is bad.,Propose holding the meeting on the 16th of September.,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is good to have the army rule.,0,1,1,2
2188,118,12,CORRUPTION,Malaysia,Tajikistan,Marcus,Amelia,Jacob,Marcus is a 21-year-old male Engineering student from China.,Amelia is a 21-year-old female Literature student from Tajikistan.,Jacob is a 20-year-old male Economics student from Malaysia.,Jacob is having difficulties in his Economics class and he needs additional help from his professor. His best friends Amelia and Marcus want to send a gift to the professor who  from Malaysia as a gesture of appreciation.,Discuss what kind of gift to give to Jacob's professor.,Discuss whether they should bribe the teachers for better service,Do not give gifts  containing alcohol to people from Malaysia. These are considered inappropriate.,"People from Tajikistan strongly agree that they never have to pay a bribe to local officials and service providers, like police officers, lawyers, doctors, teachers, and civil servants.",Discuss giving a alcohol  gift to Jacob’s professor.,Question the possibility of paying a bribe to teachers for better service.,Discuss what kind of gift to give to Jacob's professor.,Discuss the possibility of paying a bribe to teachers for better service.,1,2,1,2
2189,237,12,POLITICAL CULTURE & POLITICAL REGIMES,Argentina,Slovakia,Peter,Mark,Lucia,Peter: A 30-year-old male IT developer from China.,Mark: A 28-year-old male IT developer from Slovakia.,Lucia: A 35-year-old female IT developer from Argentina.,Multiple tech companies from around the globe have come together for a substantial project and have scheduled a meeting in July to measure the work progress,Decide on an exact date for the upcoming meeting.,Discuss whether it is common to have the army rule.,"People from Argentina celebrate Independence Day on July 9,",People from Slovakia agree that having the army rule is bad.,Propose holding the meeting on the July 9,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is good to have the army rule.,0,1,1,2
2190,184,123,ETHICAL VALUES AND NORMS,Spain,Iran,Liam,Mark,Jenna,Liam is a 27-year-old male Software Engineer from Indonesia.,Mark is a 23-year-old female and a Master's student from Iran.,Jenna  is a 26-year-old Spanish male and a teacher in a primary school.,"Jenna is unexpectedly expecting a child and is considering her options, including marriage. Her friends gather to discuss potential gifts for a baby shower.",Debate on what gift will be most appropriate for Jenna's baby shower.,Discuss Jenna's options considering the pregnancy,"Be aware that flowers are not common gifts in Spain, as they cannot be easily shared.",People from Iran strongly agree that abortion is not justifiable.,Suggest giving Jenna a bunch of roses.,Question whether it is reasonable to get abortion,Debate on what gift will be most appropriate for Jenna's baby shower.,Discuss whether it is reasonable to get abortion,0,1,1,0
2191,169,34,RELIGIOUS VALUES,Brazil,Canada,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China.,Kim: A 25-year-old male IT programmer from Canada .,Emily: A 25-year-old female sales assistant from Brazil .,"Emily is ill and needs a blood transfusion, but as a Jehovah's Witness, she has consistently refused treatment. Mike and Kim are going to visit Emily.",Discuss what kind of flowers to buy for Emily.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,"Do not give purple orchids to people from Brazil, as these are associated with mourning.","People from Canada strongly disagree that whenever science and religion conflict, religion is always right.",Discuss bring purple orchids to Emily as a gesture.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,Discuss what kind of flowers to buy for Emily.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,0,1,1,2
2192,66,34,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL",Vietnam,New Zealand,Lucas,James,Amy,Lucas: A 30-year-old marketer from USA.,James: A 29-year-old project manager from New Zealand.,Amy: A 27-year-old software developer from Vietnam.,"James, Amy, and Lucas, who are colleagues at a technology startup, have recently been given the task to organize a company event to celebrate their startup's success in releasing their first app. The team has been buzzing about a recently published article claiming that the government is planning to lower corporate taxes which will greatly benefit their startup. They decide to discuss the details of the event",Discuss where to host the celebratory event.,Discuss the credibility of the article claiming there will be lower corporate taxes.,Be mindful that people from Vietnam may be vegetarian.,People from New Zealand have no confidence in the press at all.,Suggest a vegetarian-friendly place for the celebration.,Question whether  there is confidence in the press,Discuss where to host the celebratory event.,Discuss whether there is confidence in the press,0,1,1,1
2193,28,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Thailand,Tunisia,Jared,Alex,Carly,"Jared, a 30-year-old marketing manager from Thailand.","Alex, a 32-year-old financial analyst from Tunisia.","Carly, a 27-year-old single mom  from Thailand.","Carly, a single mom working two jobs, has been invited to an old friend's wedding",Discuss what should be the suitable gift for Carly's friend's wedding.,Discuss the impact of a mother working for pay on her children.,"Money is a common gift for weddings  in Thailand, celebrating a monk’s ordination into the monastery.","People from Tunisia strongly agree that when a mother works for pay, the children suffer.","Suggest giving money as a gift for Carly's friend's wedding,",Question whether that a mother works for pay and the children suffer.,Discuss what should be the suitable gift for Carly's friend's wedding.,"Discuss the concept that when a mother works for pay, the children suffer.",0,1,0,1
2194,66,34,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL",Hungary,Egypt,Anna,Max,Bella,Anna: A 27-year-old female graduate from India.,Max: A 25-year-old male graduate from Egypt,Bella: A 26-year-old female graduate from Hungary.,"Bella, Anna, and Max have graduated from a renowned university and are now partners in a tech startup that just got a major investment. They plan on celebrating their success through a fancy dinner. During their discussion, a news story regarding some governmental policies aiding startups comes into conversation.",The discussion about selecting a suitable food cuisine for the celebration dinner.,Discuss about the reliability of the news from the press,Do not season your food with  pepper to people from Hungary. This may be considered offensive.,People from Egypt have no confidence in the press at all.,Discuss cooking a  pepper dessert.,Question whether  there is confidence in the press,The discussion about selecting a suitable food cuisine for the celebration dinner.,Discuss whether there is confidence in the press,0,1,0,1
2195,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,Singapore,Northern Ireland,Alice,Sam,John,Alice is a 26-year-old female IT programmer from Canada.,Sam is a 32-year-old male IT programming lead from Northern Ireland.,John is a 28-year-old male IT programmer from Singapore.,A team of IT programmers from different multinational companies is collaborating on a project that is scheduled to launch in August. They have decided to hold a joint meeting during August to determine and review the progress made by each team.,Discussion on setting a specific meeting date in August.,Discussion on freedom and limitations in political discussions.,People from Singapore celebrate National Day on August 9,People from Northern Ireland agree that the political system in their country does not allow people to have a say in what the government does.,Propose and discuss holding the meeting on the 9th of August.,Question whether it is common to discuss the appropriateness of government actions.,Discussion on setting a specific meeting date in August.,Discuss whether it is common to discuss government actions.,0,1,1,2
2196,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,Romania,Mexico,Alex,John,Maria,"Alex, a 40-year-old male civil engineer from Japan.","John, a 30-year-old male civil engineer from Mexico.","Maria, a 35-year-old female civil engineer from Romania.",Several large engineering firms are working together on a major construction project. They have planned to hold a crucial progress meeting in early December.,Discussion around finalizing the date for the meeting.,Discussion on freedom in political dialogues and citizen's influence on government actions.,People from Romania celebrate National Day on December 1.,People from Mexico agree that the political system in their country does not allow people to have a say in what the government does.,Propose to keep the meeting on December 1st.,Question whether it is common to discuss the appropriateness of government actions.,Discussion around finalizing the date for the meeting.,Discuss whether it is common to discuss government actions.,0,1,0,1
2197,18,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",China,Argentina,Luis,Emi,Jane,A 27-year-old male software developer from Mexico,Emi: A 28-year-old female System Analyst from Argentina.,Jane: A 30-year-old female project manager from China.,"In a multinational software company, Maria is planning a farewell party for her colleague Jane, who's leaving the company. Invited to the party are colleagues from different cultural backgrounds including Luis and Emi.",Discuss about what farewell gift to buy for Jane,Discuss whether it’s acceptable to have a drug addict as a neighbor.,Do not give umbrellas to people from China. These symbolize separation.,People from Argentina would not like to have drug addicts as neighbors.,Suggest bringing umbrellas as a get-well-soon gift,Question whether would like to have a former drug addict as a neighbor.,Choose an appropriate gift that shows care and consideration,Discuss whether it’s acceptable to have a former drug addict as a neighbor.,0,1,0,1
2198,24,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Colombia,Malaysia,Michelle,Annie,George,Michelle: A 28-year-old female HR professional from Canada.,Annie: A 32-year-old female teacher from Malaysia.,George: A 30-year-old male engineer from Colombia.,George plans to shift to a new neighborhood and wishes to arrange a community get-together to connect with the neighbors. A couple of her new neighbors happen to engage in heavy drinking.,Discussing the ideal gift to present to George for the event.,Discuss whether it’s acceptable to have heavy drinkers as a neighbor.,Do not give yellow flowers to people from Colombia. These are used at funerals.,People from Malaysia would not like to have heavy drinkers as neighbors.,Discuss bringing yellow flowers  to George,Question whether would like to have heavy drinkers as a neighbor.,contemplate the right gift to carry to George event.,Discuss on whether it’s acceptable to have heavy drinkers  as a neighbor.,0,1,0,0
2199,184,123,ETHICAL VALUES AND NORMS,Spain,Kyrgyzstan,Melissa,Elaine,Zachary,"Melissa, a 24-year-old Spanish-Indonesian mix, pursuing her Masters degree.","Elaine, a 29-year-old anthropologist from Kyrgyzstan.","Zachary, a 32-year-old technologist from Spain.","Zachary unexpectedly finds herself expecting a child with her fiancé, and they accelerate their wedding plans.",Decide on an appropriate gift for Zachary upcoming nuptials.,Discuss  get married due to pregnancy.,Do not give white lilies to people from Spain. These are usually given at funerals.,People from Kyrgyzstan strongly agree that abortion is not justifiable.,Discuss bring  white lilies as a gift,Question whether it is reasonable to get abortion,Decide on an appropriate gift for Zachary upcoming nuptials.,Discuss whether it is reasonable to get abortion,0,1,0,1
2200,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,Cyprus,Philippines,Lucas,John,Maria,Lucas is a 35-year-old male software engineer from the United States.,John is a 32-year-old male software engineer from Philippines.,Maria is a 28-year-old female software engineer from Cyprus.,A large software development company is preparing to roll out a major software update. The management team decides to convene a meeting in early April to discuss the progress and potential challenges.,Setting a final meeting date upon mutual agreement.,Discussing and comparing levels of freedom of speech in different political systems.,People from Cyprus observe Greek Cypriot National Day on April 1st.,People from Philippines agree that the political system in their country does not allow people to have a say in what the government does.,Propose to schedule the meeting on April 1st,Question whether it is common to discuss the appropriateness of government actions.,Discussion around finalizing the date for the meeting.,Discuss whether it is common to discuss government actions.,0,1,1,2
2201,24,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Colombia,Singapore,Michelle,Annie,George,Michelle: A 28-year-old female HR professional from Canada.,Annie: A 32-year-old female teacher from Singapore.,George: A 30-year-old male engineer from Colombia.,George plans to shift to a new neighborhood and wishes to arrange a community get-together to connect with the neighbors. A couple of her new neighbors happen to engage in heavy drinking.,Discussing the ideal gift to present to George for the event.,Discuss whether it’s acceptable to have heavy drinkers as a neighbor.,Do not give yellow flowers to people from Colombia. These are used at funerals.,People from Singapore would not like to have heavy drinkers as neighbors.,Discuss bringing yellow flowers  to George,Question whether would like to have heavy drinkers as a neighbor.,contemplate the right gift to carry to George event.,Discuss on whether it’s acceptable to have heavy drinkers  as a neighbor.,0,1,1,2
2202,169,34,RELIGIOUS VALUES,Brazil,Libya,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China.,Kim: A 25-year-old male IT programmer from Libya .,Emily: A 25-year-old female sales assistant from Brazil .,"Emily is ill and needs a blood transfusion, but as a Jehovah's Witness, she has consistently refused treatment. Mike and Kim are going to visit Emily.",Discuss what kind of flowers to buy for Emily.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,"Do not give purple orchids to people from Brazil, as these are associated with mourning.","People from Libya strongly agree that whenever science and religion conflict, religion is always right.",Discuss bring purple orchids to Emily as a gesture.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,Discuss what kind of flowers to buy for Emily.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,0,1,0,2
2203,169,34,RELIGIOUS VALUES,Croatia,Chile,Oliver,John,Paul,Oliver: A 36-year-old male IT specialist from New Zealand.,John: A 35-year-old male biology teacher from Chile.,Paul: A 50-year-old retired accountant from Croatia.,"Paul is in need of a pacemaker installation due to a critical heart condition. As a deeply religious individual, he is unsure about the procedure. His friends John and Oliver decide to visit him at the hospital to discuss his options and bring him flowers.",Discuss what kind of flowers and how many to bring for Paul.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,Do not give an even number of flowers to people from Croatia. Even numbers are only given to the deceased.,"People from Chile strongly disagree that whenever science and religion conflict, religion is always right.",Consider bring 16 white lilies to Paul.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,Discuss what kind of flowers and how many to bring for Paul.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,0,1,1,2
2204,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,United States,Romania,Mike,Kim,Emily,Mike is a 25-year-old  male IT programmer from China.,Kim is a 25-year-old  male IT programmer from Romania.,Emily is a 30-year-old male IT programmer from the United States.,Several multinational companies are collaborating on a project and have decided to hold a joint meeting in early November to determine progress.,Discuss setting a specific meeting date.,Discuss the degree of freedom in political discussions.,Election Day in the United States is on the Tuesday following the first Monday in November.,People from Romania agree that the political system in their country does not allow people to have a say in what the government does.,Discuss proposing to hold the meeting on the first Tuesday of November.,Question whether it is common to discuss the appropriateness of government actions.,Discuss setting a specific date for the meeting.,Discuss whether it is common to discuss government actions.,0,1,0,1
2205,3,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Canada,Canada,Jamie,Alex,,Jamie is a 28-year-old female software developer from Canada.,Alex is a 30-year-old male project manager from Canada.,,"A project deadline is approaching, and it is currently June 25th.",Discuss the timeline for completing the project.,Discuss the possibility of working on July 1st to ensure the project is completed on time.,People from Canada celebrate Canada Day on July 1.,People from Canada place great importance on Leisure time.,Discuss the possibility of working on July 1st -2nd to complete the tasks.,Suggest working on July 1st to finish the task,Discuss the schedule for completing the tasks,Discuss  the possibility of working on July 1st to finish the task,0,1,0,2
2206,22,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Chile,Nigeria,Mark,Linda,John,Mark: A 32-year-old marketing agent from Netherlands.,Linda: A 28-year-old teacher from Nigeria.,John: A 35-year-old professional chef from Chile.,"John, a professional chef, and his husband are getting ready to welcome their new next-door neighbors with a dinner party at their home.",Discuss what gift to bring for John,Discuss whether it’s acceptable to have  homosexuals as a neighbor.,Do not give sharp objects such as knives or scissors to people from Chile.,People from Nigeria would not like to have homosexuals as neighbors.,Discuss bring expensive knives to bring for John dinner.,Question whether would like to have homosexuals as a neighbor.,Decide appropriate gift to bring for John,Discuss on whether it’s acceptable to have homosexuals as a neighbor.,0,1,0,1
2207,20,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Canada,Iran,Ravi,Tam,Alex,Ravi: A 26-year-old male data analyst from India,Tam: A 27-year-old female software tester from Iran,Alex: A 28-year-old female software engineer from Canada,"A multinational tech company is hosting a goodbye party for one of their employees, Alex, who is moving to Canada to lead a new branch.",Decide what gift to bring to Alex's farewell party,brings up the topic of living with neighbors who might have AIDS.,Do not give cash or money as a present to people from Canada. This is considered distasteful.,People from Iran would not like to have people who have AIDS as neighbors.,Suggests a monetary gift as Alex's farewell present,Question whether would like to have people having AIDS as a neighbor.,Decide what gift to bring to Alex's farewell party,Discuss on whether it’s acceptable to have people having AIDS as a neighbor.,0,1,0,0
2208,3,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Greece,Greece,Ethan,Sophia,,Ethan is a 28-year-old male project manager from Canada.,Sophia is a 30-year-old female graphic designer from Greece.,,A project deadline is approaching by August 17 and it is currently  August 12,Discuss the schedule for completing the project,Discuss the possibility of working on   August 15 to ensure the project is completed on time.,People from Greece celebrate the Assumption of Mary on August 15.,People from Greece place great importance on Leisure time.,Discuss the possibility of working on        August 12-16 to complete the tasks.,Suggest working on    August 15to ensure the project is completed on time.,Discuss the schedule for completing the tasks,Discuss  the possibility of working on   August 15 to finish the task,0,1,0,1
2209,237,34,POLITICAL CULTURE & POLITICAL REGIMES,Argentina,Slovakia,Peter,Mark,Lucia,Peter: A 30-year-old male IT developer from China.,Mark: A 28-year-old male IT developer from Slovakia.,Lucia: A 35-year-old female IT developer from Argentina.,Multiple tech companies from around the globe have come together for a substantial project and have scheduled a meeting in July to measure the work progress,Decide on an exact date for the upcoming meeting.,Discuss whether it is common to have the army rule.,"People from Argentina celebrate Independence Day on July 9,",People from Slovakia agree that having the army rule is bad.,Propose holding the meeting on the July 9,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,0,1,1,2
2210,28,34,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Thailand,Bolivia,John,Lucas,Sarah,John is a 28-year-old Thai professor in anthropology.,Lucas is a 29-year-old  accountant from Bolivia.,Sarah is a 30-year-old full-time librarian and mom  from Thailand.,"Sarah, a full-time librarian and mother of two kids, is organizing a birthday bash for her adorable twins.",Discuss what colour to choose for gift wrapping at Sarah's twins' birthday event.,Discuss the impact of a mother working for pay on her children.,"Do not wrap gifts in black,  for people from Thailand. These colours are typically associated with death and mourning.","People from Bolivia strongly agree that when a mother works for pay, the children suffer.",Discuss wrap the gift in black for the party.,Question whether that a mother works for pay and the children suffer.,Discuss what colour to choose for gift wrapping at Sarah's twins' birthday event.,"Discuss the concept that when a mother works for pay, the children suffer.",0,2,0,1
2211,22,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Chile,Kenya,Mark,Linda,John,Mark: A 32-year-old marketing agent from Netherlands.,Linda: A 28-year-old teacher from Kenya.,John: A 35-year-old professional chef from Chile.,"John, a professional chef, and his husband are getting ready to welcome their new next-door neighbors with a dinner party at their home.",Discuss what gift to bring for John,Discuss whether it’s acceptable to have  homosexuals as a neighbor.,Do not give sharp objects such as knives or scissors to people from Chile.,People from Kenya would not like to have homosexuals as neighbors.,Discuss bring expensive knives to bring for John dinner.,Question whether would like to have homosexuals as a neighbor.,Decide appropriate gift to bring for John,Discuss on whether it’s acceptable to have homosexuals as a neighbor.,0,1,0,0
2212,169,12,RELIGIOUS VALUES,Poland,Indonesia,Paul,Ahmad,John,Paul: A 30-year-old male accountant from Poland.,Ahmad: A 28-year-old male engineer from Indonesia.,John: A 35-year-old male store manager from Poland.,"John has suffered a serious injury and the doctors have recommended surgery. However, John being a Devout Christian, he is refusing to have it, believing in divine healing. Paul and Ahmad are going to visit John.",Deciding on what kind flowers to bring for John.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,Do not give chrysanthemums to people from Poland. These are used at funerals.,"People from Indonesia strongly agree that whenever science and religion conflict, religion is always right.",Consider bring chrysanthemums to John.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,Deciding on what kind flowers to bring for John.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,0,1,0,1
2213,18,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Egypt,Australia,Sarah,Yuki,Lisa,Sarah:A 23-year-old male Graduate student  from China,Yuki : A 24-year-old male Graduate student  from Australia.,Lisa : A 24-year-old Female Graduate student  from Egypt.,A university international cultural exchange club is organizing its annual friendship dinner. Members are expected to bring gifts for their assigned dinner partners while discussing potential shared housing arrangements for the next semester.,"During club preparations, Sarah discusses with Yuki what gift would be appropriate for their Dutch club member, Lisa.","While planning housing arrangements for next semester, the topic of potential roommates comes up, including a student known to have a history of substance abuse.","Do not give flowers as a gift to people from Egypt. Flowers tend to be reserved for weddings, for the ill or for periods of mourning.",People from Australia would not like to have drug addicts as neighbors.,Sarah wants to create beautiful table decorations using chrysanthemums to impress Lisa and other club members.,Question whether would like to have a former drug addict as a neighbor.,"Discusses what gift would be appropriate for their Dutch club member, Lisa.",Discuss whether it’s acceptable to have a former drug addict as a neighbor.,0,1,1,2
2214,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,Argentina,Iran,Julia,Tesfaye,Lucas,Julia is a 28-year-old female environmentalist from France.,Tesfaye is a 40-year-old male environmentalist from Iran.,Lucas is a 35-year-old male environmentalist from Argentina.,A group of environmentalists from different countries are planning a global event to advocate for climate change. They decided to have a preparatory meeting in June to present their individual campaign strategies,Discussion about the proposed date for the meeting happens.,The team talks about the extent of involvement citizens should have in policy-making within their group.,People from Argentina observe National Flag Day on June 20.,People from Iran agree that the political system in their country does not allow people to have a say in what the government does.,"Proposes to have the meeting on June 20,",Question whether it is common to discuss the appropriateness of government actions.,Discussion around finalizing the date for the meeting.,Discuss whether it is common to discuss government actions.,0,1,0,1
2215,3,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Japan,Japan,Emma,Satoshi,,Emma is a 28-year-old female software developer from Australia.,Satoshi is a 30-year-old male project manager from Japan.,,"A project deadline is approaching, and the team needs to ensure all tasks are completed before May 8",Discuss the schedule for completing the project,Discuss the possibility of working on        May 4 to ensure the project is completed on time.,People from Japan celebrate Greenery Day on May 4.,People from Japan place great importance on Leisure time.,Discuss the possibility of working on      May 2-4 complete the tasks.,Suggest working on    May 4 to ensure the project is completed on time.,Discuss the schedule for completing the tasks,Discuss  the possibility of working on     May 4 to finish the task,0,1,1,0
2216,237,34,POLITICAL CULTURE & POLITICAL REGIMES,Mexico,Singapore,Lisa,Hans,David,Lisa: A 27-year-old female software engineer from Japan.,Hans: A 30-year-old male software engineer from Singapore.,David: A 35-year-old male software engineer from Mexico.,A few international tech companies are working together on a software development project and plan a progress check meeting around mid-September.,Decide on an exact date for the upcoming meeting.,Discuss whether it is common to have the army rule.,People from Mexico celebrate Independence Day on September 16.,People from Singapore agree that having the army rule is bad.,Propose holding the meeting on the 16th of September.,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,0,1,1,2
2217,66,34,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL",Vietnam,Argentina,Lucas,James,Amy,Lucas: A 30-year-old marketer from USA.,James: A 29-year-old project manager from Argentina.,Amy: A 27-year-old software developer from Vietnam.,"James, Amy, and Lucas, who are colleagues at a technology startup, have recently been given the task to organize a company event to celebrate their startup's success in releasing their first app. The team has been buzzing about a recently published article claiming that the government is planning to lower corporate taxes which will greatly benefit their startup. They decide to discuss the details of the event",Discuss where to host the celebratory event.,Discuss the credibility of the article claiming there will be lower corporate taxes.,Be mindful that people from Vietnam may be vegetarian.,People from Argentina have no confidence in the press at all.,Suggest a vegetarian-friendly place for the celebration.,Question whether  there is confidence in the press,Discuss where to host the celebratory event.,Discuss whether there is confidence in the press,0,1,1,1
2218,27,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Russia,South Korea,David,Alex,Tom,David: A 28-year-old male who got promoted to a high-level executive position from Japan.,Alex: A 26-year-old male working in finance from South Korea.,Tom: A 25-year-old male working in marketing from Russia.,"Tom has been promoted to a high-level executive position in his company, and his family is organizing a party to celebrate his professional accomplishment.",Discuss what gift to bring to Tom promotion party.,Discuss how becoming a high-ranking executive in his company has made the parents incredibly proud.,Do not give carnations to people from Russia. These are associated with funerals and Soviet holidays.,People from South Korea strongly agree that one of my main goals in life has been to make my parents proud.,Discuss the idea of buying carnations as a gift for Tom.,Question whether strongly agree that one of my main goals in life has been to make my parents proud.,Decide the appropriate gift to bring to Tom promotion party.,Discuss whether my main goals in life has been to make my parents proud.,1,2,1,2
2219,18,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Netherlands,Slovakia,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China,Kim: A 25-year-old male IT programmer from Slovakia.,Emily: A 25-year-old female sales assistant from the Netherlands.,"Emily is preparing to move into a new home and is planning to host a housewarming party. She intends to invite her friends and neighbors to celebrate. One of her neighbors, while a former drug addict, has managed to control his addiction. Mike and Kim will attend Emily’s housewarming party.",Discuss what gift to buy for Emily to bring to the housewarming party.,Discuss whether it’s acceptable to have a drug addict as a neighbor.,"Do not give chrysanthemums to people from the Netherlands, as they are associated with mourning.",People from Slovakia would not like to have drug addicts as neighbors.,Discuss bringing chrysanthemums to Emily’s housewarming party,Question whether would like to have a former drug addict as a neighbor.,Discuss what gift to bring to Emily’s housewarming party.,Discuss whether it’s acceptable to have a former drug addict as a neighbor.,0,2,0,1
2220,27,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Japan,Colombia,Mike,Kim,Emily,Mike: A 17-year-old male high school student from China.,Kim: A 17-year-old male high school student from Colombia.,Emily: A 17-year-old female high school student from Japan.,"Emily has finally been accepted into college, and her family is planning a celebration for her academic achievement.",Discuss what gift to bring to Emily's academic achievement party.,Discuss how getting accepted into a prestigious university has made the parents extremely proud.,"Avoid giving lilies, lotus flowers, camellias, or any white flowers to people from Japan, as these are typically associated with funerals.",People from Colombia strongly agree that one of my main goals in life has been to make my parents proud.,Discuss the idea of buying lilies as a gift for Emily.,Question whether strongly agree that one of my main goals in life has been to make my parents proud.,Decide appropriate gift to bring to Emily's academic achievement party.,Discuss whether my main goals in life has been to make my parents proud.,0,1,1,2
2221,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,Argentina,Japan,Julia,Tesfaye,Lucas,Julia is a 28-year-old female environmentalist from France.,Tesfaye is a 40-year-old male environmentalist from Japan.,Lucas is a 35-year-old male environmentalist from Argentina.,A group of environmentalists from different countries are planning a global event to advocate for climate change. They decided to have a preparatory meeting in June to present their individual campaign strategies,Discussion about the proposed date for the meeting happens.,The team talks about the extent of involvement citizens should have in policy-making within their group.,People from Argentina observe National Flag Day on June 20.,People from Japan agree that the political system in their country does not allow people to have a say in what the government does.,"Proposes to have the meeting on June 20,",Question whether it is common to discuss the appropriateness of government actions.,Discussion around finalizing the date for the meeting.,Discuss whether it is common to discuss government actions.,0,1,0,1
